iter	Passed	Remaining
399	46959	70439
400	47076	70320
401	47192	70202
402	47310	70084
403	47426	69966
404	47543	69848
405	47660	69729
406	47778	69612
407	47894	69494
408	48011	69375
409	48135	69268
410	48261	69163
411	48380	69048
412	48497	68930
413	48614	68812
414	48731	68694
415	48848	68575
416	48974	68470
417	49102	68368
418	49233	68268
419	49363	68169
420	49494	68069
421	49614	67955
422	49731	67836
423	49848	67718
424	49964	67599
425	50081	67481
426	50208	67376
427	50337	67273
428	50465	67170
429	50592	67064
430	50715	66953
431	50832	66834
432	50948	66715
433	51065	66597
434	51182	66478
435	51299	66360
436	51416	66241
437	51534	66123
438	51656	66012
439	51783	65906
440	51909	65799
441	52035	65691
442	52157	65579
443	52274	65460
444	52391	65342
445	52508	65223
446	52625	65104
447	52742	64985
448	52859	64867
449	52976	64749
450	53093	64631
451	53210	64512
452	53328	64394
453	53445	64275
454	53561	64156
455	53678	64037
456	53796	63919
457	53913	63801
458	54029	63682
459	54146	63563
460	54263	63444
461	54381	63327
462	54497	63208
463	54614	63089
464	54732	62971
465	54849	62852
466	54965	62734
467	55082	62615
468	55200	62497
469	55318	62380
470	55437	62264
471	55555	62147
472	55673	62029
473	55790	61911
474	55908	61793
475	56024	61674
476	56141	61555
477	56258	61436
478	56376	61320
479	56494	61202
480	56611	61084
481	56729	60966
482	56847	60849
483	56964	60730
484	57081	60611
485	57198	60493
486	57315	60375
487	57432	60257
488	57549	60138
489	57667	60021
490	57784	59902
491	57901	59783
492	58017	59665
493	58134	59547
494	58253	59430
495	58371	59312
496	58488	59194
497	58605	59075
498	58722	58958
499	58839	58839
500	58956	58721
501	59073	58603
502	59190	58484
503	59309	58367
504	59426	58249
505	59543	58131
506	59661	58014
507	59779	57896
508	59896	57778
509	60012	57659
510	60129	57540
511	60246	57422
512	60510	57443
513	60627	57324
514	60743	57205
515	60860	57086
516	60977	56967
517	61094	56848
518	61210	56728
519	61327	56610
520	61445	56491
521	61561	56372
522	61678	56253
523	61794	56133
524	61911	56015
525	62028	55896
526	62145	55777
527	62261	55658
528	62378	55539
529	62495	55420
530	62611	55301
531	62728	55181
532	62844	55062
533	62962	54944
534	63078	54825
535	63194	54706
536	63311	54587
537	63428	54468
538	63545	54349
539	63662	54231
540	63779	54112
541	63895	53993
542	64013	53875
543	64130	53756
544	64246	53637
545	64364	53519
546	64481	53400
547	64599	53282
548	64715	53163
549	64831	53043
550	64947	52924
551	65064	52806
552	65181	52687
553	65298	52569
554	65414	52449
555	65531	52330
556	65648	52212
557	65764	52092
558	65881	51974
559	65998	51855
560	66114	51736
561	66231	51618
562	66348	51499
563	66464	51380
564	66581	51261
565	66698	51143
566	66815	51024
567	66932	50906
568	67049	50788
569	67166	50669
570	67283	50550
571	67401	50432
572	67518	50315
573	67635	50196
574	67751	50077
575	67868	49958
576	67984	49839
577	68102	49722
578	68219	49603
579	68336	49484
580	68452	49365
581	68569	49247
582	68685	49128
583	68802	49009
584	68918	48891
585	69035	48772
586	69152	48653
587	69268	48535
588	69386	48417
589	69502	48298
590	69619	48179
591	69736	48061
592	69852	47942
593	69968	47823
594	70085	47705
595	70202	47587
596	70319	47468
597	70436	47350
598	70553	47231
599	70669	47112
600	70786	46994
601	70902	46876
602	71019	46757
603	71136	46639
604	71254	46521
605	71371	46403
606	71488	46285
607	71605	46166
608	71722	46048
609	71839	45930
610	71956	45811
611	72072	45693
612	72189	45574
613	72307	45456
614	72423	45338
615	72539	45219
616	72656	45100
617	72772	44982
618	72889	44864
619	73006	44745
620	73122	44627
621	73239	44508
622	73356	44390
623	73474	44272
624	73591	44154
625	73707	44036
626	73823	43917
627	73941	43799
628	74057	43681
629	74174	43562
630	74291	43444
631	74408	43326
632	74526	43208
633	74642	43090
634	74758	42971
635	74875	42853
636	74993	42735
637	75110	42617
638	75226	42499
639	75343	42380
640	75460	42262
641	75577	42144
642	75694	42026
643	75810	41907
644	75927	41789
645	76044	41671
646	76160	41553
647	76277	41434
648	76394	41316
649	76511	41198
650	76628	41080
651	76744	40962
652	76861	40843
653	76977	40725
654	77094	40607
655	77211	40488
656	77328	40370
657	77445	40252
658	77561	40134
659	77678	40016
660	77795	39897
661	77912	39779
662	78029	39662
663	78148	39544
664	78265	39426
665	78382	39309
666	78499	39191
667	78617	39073
668	78734	38955
669	78851	38837
670	78969	38719
671	79086	38601
672	79202	38483
673	79320	38365
674	79438	38248
675	79554	38129
676	79671	38011
677	79787	37893
678	79904	37775
679	80023	37657
680	80139	37539
681	80257	37422
682	80374	37304
683	80491	37186
684	80607	37067
685	80725	36950
686	80844	36833
687	80961	36714
688	81077	36596
689	81194	36478
690	81311	36360
691	81429	36243
692	81546	36125
693	81663	36007
694	81780	35889
695	81896	35770
696	82013	35652
697	82130	35534
698	82248	35417
699	82367	35300
700	82484	35182
701	82601	35064
702	82718	34946
703	82835	34828
704	82951	34710
705	83068	34592
706	83185	34474
707	83303	34356
708	83421	34239
709	83538	34121
710	83655	34003
711	83772	33885
712	83889	33767
713	84006	33649
714	84123	33531
715	84240	33413
716	84358	33296
717	84475	33178
718	84592	33060
719	84709	32942
720	84826	32824
721	84944	32707
722	85061	32589
723	85180	32472
724	85299	32355
725	85417	32237
726	85534	32119
727	85651	32001
