iter	MAE
199	5.917977581
200	5.917871553
201	5.917721937
202	5.917685416
203	5.91767069
204	5.91763358
205	5.917611786
206	5.917598827
207	5.917578799
208	5.917555827
209	5.917483963
210	5.91747395
211	5.917465114
212	5.917426826
213	5.917413867
214	5.917402086
215	5.917383826
216	5.917365566
217	5.917313141
218	5.917290168
219	5.917274853
220	5.917241867
221	5.917220072
222	5.917205346
223	5.917184141
224	5.917156456
225	5.917107565
226	5.917077524
227	5.917064565
228	5.91703688
229	5.917025099
230	5.916998592
231	5.916874893
232	5.916847208
233	5.916826592
234	5.916811866
235	5.916802441
236	5.916787715
237	5.916776523
238	5.916762386
239	5.916745304
240	5.916732345
241	5.916725276
242	5.916700537
243	5.916691112
244	5.916671674
245	5.916661071
246	5.916656358
247	5.916649879
248	5.916645756
249	5.916637509
250	5.916627495
251	5.916617482
252	5.916610413
253	5.916606879
254	5.916595098
255	5.916578605
256	5.916570947
257	5.91656329
258	5.916556221
259	5.916550331
260	5.916546796
261	5.91654444
262	5.916537961
263	5.916531481
264	5.91652618
265	5.916522057
266	5.916508509
267	5.916500851
268	5.91649555
269	5.916473755
270	5.91647081
271	5.916467865
272	5.91645844
273	5.916456673
274	5.916454317
275	5.916454317
276	5.916450783
277	5.916446659
278	5.916444892
279	5.916443714
280	5.916443714
281	5.916444303
282	5.916443125
283	5.91644018
284	5.916439591
285	5.916438413
286	5.916434878
287	5.916437824
288	5.916436056
289	5.916437235
290	5.916436056
291	5.916434878
292	5.916433111
293	5.916433111
294	5.916431933
295	5.916431933
296	5.916428988
297	5.91642781
298	5.91642781
299	5.91642781
300	5.916426043
301	5.91642781
302	5.916428399
303	5.91642781
304	5.916427221
305	5.91642781
306	5.916426632
307	5.916428988
308	5.916428988
309	5.916428988
310	5.916428399
311	5.91642781
312	5.916427221
313	5.916429577
314	5.916428988
315	5.916427221
316	5.916428399
317	5.91642781
318	5.916428399
319	5.916426632
320	5.916427221
321	5.916427221
322	5.91642781
323	5.91642781
324	5.91642781
325	5.91642781
326	5.916426632
327	5.916427221
328	5.91642781
329	5.916427221
330	5.91642781
331	5.916428399
332	5.91642781
333	5.91642781
334	5.91642781
335	5.916426632
336	5.916426043
337	5.916427221
338	5.916427221
339	5.916428988
340	5.916428988
341	5.916428399
342	5.916428399
343	5.91642781
344	5.91642781
345	5.916426632
346	5.91642781
347	5.916427221
348	5.91642781
349	5.91642781
350	5.916427221
351	5.916428399
352	5.916427221
353	5.916427221
354	5.916426632
355	5.916426043
356	5.916426632
357	5.916426632
358	5.916425454
359	5.916426632
360	5.916426043
361	5.916426632
362	5.916426632
363	5.916426043
364	5.916425454
365	5.916425454
366	5.916425454
367	5.916425454
368	5.916426043
369	5.916425454
370	5.916424865
371	5.916425454
372	5.916426043
373	5.916426632
374	5.916425454
375	5.916426043
376	5.916425454
377	5.916426043
378	5.916426043
379	5.916426043
380	5.916426632
381	5.916426632
382	5.916426043
383	5.916426632
384	5.916426632
385	5.916426632
386	5.916425454
387	5.916426043
388	5.916426632
389	5.916425454
390	5.916425454
391	5.916426632
392	5.916425454
393	5.916425454
394	5.916426632
395	5.916425454
396	5.916426632
397	5.916425454
398	5.916424865
399	5.916426632
400	5.916425454
401	5.916425454
402	5.916424865
403	5.916424276
404	5.916425454
405	5.916425454
406	5.916425454
407	5.916425454
408	5.916424276
409	5.916424865
410	5.916425454
411	5.916424865
412	5.916424276
413	5.916424276
414	5.916424276
415	5.916423687
416	5.916424865
417	5.916424276
418	5.916424276
419	5.916424865
420	5.916424865
421	5.916424865
422	5.916424865
423	5.916424865
424	5.916424865
425	5.916424276
426	5.916424276
427	5.916423687
428	5.916424276
429	5.916424276
430	5.916424276
431	5.916424276
432	5.916424865
433	5.916424865
434	5.916424865
435	5.916424276
436	5.916424276
437	5.916424276
438	5.916424865
439	5.916424865
440	5.916424276
441	5.916423687
442	5.916424865
443	5.916424276
444	5.916424276
445	5.916423687
446	5.916424276
447	5.916424276
448	5.916424865
449	5.916424276
450	5.916424865
451	5.916423687
452	5.916423687
453	5.916423687
454	5.916423687
455	5.916424276
456	5.916424276
457	5.916424276
458	5.916423687
459	5.916424276
460	5.916423687
461	5.916423687
462	5.916423687
463	5.916423687
464	5.916423098
465	5.916423687
466	5.916424276
467	5.916424276
468	5.916425454
469	5.916424865
470	5.916424276
471	5.916423687
472	5.916424276
473	5.916424276
474	5.916423687
475	5.916423687
476	5.916423098
477	5.916423098
478	5.916423687
479	5.916423687
480	5.916423687
481	5.916423687
482	5.916423098
483	5.916423098
484	5.916423687
485	5.916424276
486	5.916423098
487	5.916423098
488	5.916423687
489	5.916423687
490	5.916423687
491	5.916423687
492	5.916423687
493	5.916423687
494	5.916423098
495	5.916423687
496	5.916424276
497	5.916424276
498	5.916424276
499	5.916423687
500	5.916424276
501	5.916423687
502	5.916424276
503	5.916423687
504	5.916424276
505	5.916423687
506	5.916424276
507	5.916424276
508	5.916424865
509	5.916424276
510	5.916424276
511	5.916424276
512	5.916423687
513	5.916424276
514	5.916424276
515	5.916424276
516	5.916423687
517	5.916424276
518	5.916424276
519	5.916424276
520	5.916424865
521	5.916424276
522	5.916424276
523	5.916424276
524	5.916424276
525	5.916423687
526	5.916424276
527	5.916424276
528	5.916423687
529	5.916423687
530	5.916424276
531	5.916424276
532	5.916424276
533	5.916424276
534	5.916423687
535	5.916424276
536	5.916424276
537	5.916423687
538	5.916424276
539	5.916424865
540	5.916424276
541	5.916424276
542	5.916424276
543	5.916424276
544	5.916424865
545	5.916424276
546	5.916424276
547	5.916424276
548	5.916424276
549	5.916424865
550	5.916424276
551	5.916424865
552	5.916424276
553	5.916424276
554	5.916424276
555	5.916424276
556	5.916424276
557	5.916424865
558	5.916423687
559	5.916424276
560	5.916423687
561	5.916423687
562	5.916424276
563	5.916424276
564	5.916423687
565	5.916423687
566	5.916423687
567	5.916423098
568	5.916423687
569	5.916423687
570	5.916423687
571	5.916423687
572	5.916423687
573	5.916423687
574	5.916423687
575	5.916424276
576	5.916423687
577	5.916424276
578	5.916424865
579	5.916424865
580	5.916424276
581	5.916424276
582	5.916424276
583	5.916424865
584	5.916424865
585	5.916424865
586	5.916424276
587	5.916424865
588	5.916423687
589	5.916424276
590	5.916424865
591	5.916424865
592	5.916424865
593	5.916424276
594	5.916424276
595	5.916424276
596	5.916424865
597	5.916424865
598	5.916424865
599	5.916424865
600	5.916424865
601	5.916424865
602	5.916424865
603	5.916425454
604	5.916424276
605	5.916424276
606	5.916424276
607	5.916424276
608	5.916424276
609	5.916424276
610	5.916424865
611	5.916424865
612	5.916424276
613	5.916424865
614	5.916424276
615	5.916424276
616	5.916424865
617	5.916424865
618	5.916424865
619	5.916424865
620	5.916423687
621	5.916424276
622	5.916424865
623	5.916424865
624	5.916424276
625	5.916425454
626	5.916424865
627	5.916425454
628	5.916425454
629	5.916424276
630	5.916424276
631	5.916424276
632	5.916425454
633	5.916425454
634	5.916425454
635	5.916425454
636	5.916426043
637	5.916426043
638	5.916425454
639	5.916425454
640	5.916425454
641	5.916426043
642	5.916424865
643	5.916424865
644	5.916425454
645	5.916424865
646	5.916425454
647	5.916425454
648	5.916424865
649	5.916424276
650	5.916423687
651	5.916424865
652	5.916424865
653	5.916424865
654	5.916424865
655	5.916424276
656	5.916425454
657	5.916424276
658	5.916424276
659	5.916424865
660	5.916424865
661	5.916424865
662	5.916424865
663	5.916425454
664	5.916425454
665	5.916425454
666	5.916424865
667	5.916424276
668	5.916424865
669	5.916424276
670	5.916424276
671	5.916424865
672	5.916424276
673	5.916424865
674	5.916424865
675	5.916423687
676	5.916424865
677	5.916424276
678	5.916424276
679	5.916424276
680	5.916424276
681	5.916424276
682	5.916424865
683	5.916424276
684	5.916423687
685	5.916424276
686	5.916423687
687	5.916424276
688	5.916424276
689	5.916424276
690	5.916424276
691	5.916423687
692	5.916423687
693	5.916423687
694	5.916423687
695	5.916423687
696	5.916424276
697	5.916424865
698	5.916424276
699	5.916423687
700	5.916423687
701	5.916424276
702	5.916423687
703	5.916423098
704	5.916423687
705	5.916424276
706	5.916423098
707	5.916424276
708	5.916424276
709	5.916424276
710	5.916424276
711	5.916424865
712	5.916424865
713	5.916424276
714	5.916424276
715	5.916424276
716	5.916424865
717	5.916424276
718	5.916423098
719	5.916424276
720	5.916423687
721	5.916424276
722	5.916424276
723	5.916424276
724	5.916424276
725	5.916423687
726	5.916423687
727	5.916424276
728	5.916424276
729	5.916423687
730	5.916424276
731	5.916424276
732	5.916423098
733	5.916423687
734	5.916423687
735	5.916424276
736	5.916423687
737	5.916424276
738	5.916424276
739	5.916423687
740	5.916423687
741	5.916424276
742	5.916424276
743	5.916423687
744	5.916423687
745	5.916423687
746	5.916423687
747	5.916423687
748	5.916423687
749	5.916423687
750	5.916424276
751	5.916423687
752	5.916423687
753	5.916423687
754	5.916423687
755	5.916423687
756	5.916423098
757	5.916423687
758	5.916423687
759	5.916423687
760	5.916424276
761	5.916423687
762	5.916424276
763	5.916424276
764	5.916424276
765	5.916423687
766	5.916424276
767	5.916424276
768	5.916424276
769	5.916423687
770	5.916423687
771	5.916423687
772	5.916423687
773	5.916423687
774	5.916423687
775	5.916423687
776	5.916423687
777	5.916424276
778	5.916424276
779	5.916424276
780	5.916424276
781	5.916423687
782	5.916423687
783	5.916423098
784	5.916423687
785	5.916423687
786	5.916423687
787	5.916424865
788	5.916424865
789	5.916424276
790	5.916424865
791	5.916424276
792	5.916424276
793	5.916424276
794	5.916424276
795	5.916424865
796	5.916424276
797	5.916424276
798	5.916423687
799	5.916424276
800	5.916424865
801	5.916424276
802	5.916424276
803	5.916424865
804	5.916424276
805	5.916424276
806	5.916424276
807	5.916425454
808	5.916424276
809	5.916424276
810	5.916424865
811	5.916424865
812	5.916425454
813	5.916424865
814	5.916424276
815	5.916424276
816	5.916424276
817	5.916424865
818	5.916424276
819	5.916424865
820	5.916424865
821	5.916424276
822	5.916423687
823	5.916424276
824	5.916423687
825	5.916424276
826	5.916424865
827	5.916423687
828	5.916424276
829	5.916424276
830	5.916423687
831	5.916423687
832	5.916423687
833	5.916423687
834	5.916424865
835	5.916424865
836	5.916424276
837	5.916424276
838	5.916424865
839	5.916424276
840	5.916424865
841	5.916423687
842	5.916424865
843	5.916424276
844	5.916424276
845	5.916423687
846	5.916423687
847	5.916423098
848	5.916424276
849	5.916424865
850	5.916424276
851	5.916423687
852	5.916423687
853	5.916424276
854	5.916424276
855	5.916423687
856	5.916423687
857	5.916423687
858	5.916424276
859	5.916423687
860	5.916424276
861	5.916424276
862	5.916423687
863	5.916424276
864	5.916423687
865	5.916423687
866	5.916424276
867	5.916423098
868	5.916422508
869	5.916423687
870	5.916423687
871	5.916423687
872	5.916423687
873	5.916423687
874	5.916423687
875	5.916423687
876	5.916423687
877	5.916423098
878	5.916423098
879	5.916422508
880	5.916423098
881	5.916423687
882	5.916423098
883	5.916423687
884	5.916423687
885	5.916423687
886	5.916423687
887	5.916423687
888	5.916423098
889	5.916422508
890	5.916422508
891	5.916423687
892	5.916423687
893	5.916423098
894	5.916423098
895	5.916423098
896	5.916422508
897	5.916423098
898	5.916422508
899	5.916423098
900	5.916422508
901	5.916421919
902	5.916423098
903	5.916423098
904	5.916421919
905	5.916422508
906	5.916422508
907	5.916422508
908	5.916422508
909	5.916423098
910	5.916423098
911	5.916423098
912	5.916421919
913	5.916421919
914	5.916422508
915	5.916421919
916	5.916422508
917	5.916422508
918	5.916422508
919	5.916421919
920	5.916422508
921	5.916421919
922	5.916421919
923	5.91642133
924	5.916421919
925	5.916422508
926	5.916421919
927	5.916421919
928	5.916421919
929	5.916422508
930	5.916421919
931	5.916421919
932	5.916421919
933	5.916422508
934	5.916422508
935	5.916423098
936	5.916423098
937	5.916423098
938	5.916423098
939	5.916423098
940	5.916423098
941	5.916422508
942	5.916422508
943	5.916422508
944	5.916422508
945	5.916422508
946	5.916422508
947	5.916422508
948	5.916423098
949	5.916423098
950	5.916423098
951	5.916423687
952	5.916423098
953	5.916423098
954	5.916423687
955	5.916423098
956	5.916423098
957	5.916423687
958	5.916423098
959	5.916423098
960	5.916423098
961	5.916423098
962	5.916422508
963	5.916422508
964	5.916422508
965	5.916422508
966	5.916423687
967	5.916422508
968	5.916422508
969	5.916422508
970	5.916422508
971	5.916423687
972	5.916422508
973	5.916422508
974	5.916422508
975	5.916422508
976	5.916422508
977	5.916423687
978	5.916423687
979	5.916422508
980	5.916423687
981	5.916422508
982	5.916422508
983	5.916423687
984	5.916422508
985	5.916423687
986	5.916423687
987	5.916422508
988	5.916422508
989	5.916422508
990	5.916422508
991	5.916423098
992	5.916422508
993	5.916423098
994	5.916423098
995	5.916422508
996	5.916422508
997	5.916422508
998	5.916422508
999	5.916422508
