iter	Passed	Remaining
440	1236	1566
441	1238	1563
442	1240	1559
443	1242	1556
444	1245	1552
445	1247	1549
446	1249	1545
447	1251	1542
448	1254	1538
449	1256	1535
450	1258	1531
451	1260	1528
452	1262	1524
453	1265	1521
454	1267	1518
455	1269	1514
456	1271	1511
457	1273	1507
458	1276	1503
459	1278	1500
460	1280	1497
461	1282	1493
462	1284	1490
463	1286	1486
464	1289	1483
465	1291	1479
466	1293	1476
467	1295	1473
468	1297	1469
469	1300	1466
470	1302	1462
471	1304	1459
472	1306	1455
473	1308	1452
474	1311	1449
475	1313	1446
476	1315	1442
477	1318	1439
478	1320	1435
479	1322	1432
480	1324	1429
481	1326	1426
482	1329	1422
483	1331	1419
484	1333	1415
485	1335	1412
486	1337	1409
487	1340	1405
488	1342	1402
489	1344	1399
490	1346	1395
491	1348	1392
492	1350	1389
493	1352	1385
494	1355	1382
495	1357	1379
496	1359	1375
497	1361	1372
498	1364	1369
499	1366	1366
500	1368	1363
501	1370	1359
502	1373	1356
503	1375	1353
504	1377	1350
505	1379	1346
506	1381	1343
507	1383	1340
508	1385	1336
509	1388	1333
510	1390	1330
511	1392	1327
512	1394	1324
513	1396	1320
514	1399	1317
515	1401	1314
516	1403	1311
517	1405	1307
518	1407	1304
519	1410	1301
520	1412	1298
521	1414	1295
522	1417	1292
523	1419	1289
524	1421	1286
525	1423	1282
526	1425	1279
527	1428	1276
528	1430	1273
529	1432	1270
530	1434	1267
531	1436	1264
532	1439	1260
533	1441	1257
534	1443	1254
535	1445	1251
536	1447	1248
537	1450	1245
538	1452	1242
539	1454	1238
540	1456	1235
541	1458	1232
542	1461	1229
543	1463	1226
544	1465	1223
545	1467	1220
546	1469	1217
547	1472	1214
548	1474	1211
549	1476	1207
550	1478	1204
551	1480	1201
552	1482	1198
553	1485	1195
554	1487	1192
555	1489	1189
556	1492	1186
557	1494	1183
558	1496	1180
559	1498	1177
560	1500	1174
561	1502	1171
562	1505	1168
563	1507	1165
