iter	Logloss
0	0.6920319671
1	0.6912858363
2	0.6902593917
3	0.6889979562
4	0.688242341
5	0.6875524358
6	0.6867854881
7	0.6860568943
8	0.6849930143
9	0.6839981237
10	0.6833116132
11	0.6822228349
12	0.6809792037
13	0.679840903
14	0.6791591959
15	0.6780097493
16	0.6773539924
17	0.676676706
18	0.675712669
19	0.675041827
20	0.6743526549
21	0.6733706718
22	0.6726468095
23	0.6716564709
24	0.6710431044
25	0.6704085597
26	0.6697595181
27	0.6691392474
28	0.668542877
29	0.6679178557
30	0.6672359508
31	0.6668162195
32	0.6658761218
33	0.6654141286
34	0.6650957618
35	0.6645163731
36	0.6639086991
37	0.6633656259
38	0.6627642033
39	0.6622496471
40	0.6617343262
41	0.6606841638
42	0.6599523966
43	0.659351705
44	0.658726229
45	0.6581580737
46	0.6576698139
47	0.6572140111
48	0.6568818759
49	0.6564482616
50	0.6560054546
51	0.655856525
52	0.6555604171
53	0.655108532
54	0.654731949
55	0.6540011593
56	0.6534918546
57	0.6529358689
58	0.6524431261
59	0.6519090877
60	0.6513208767
61	0.6507958875
62	0.6501280294
63	0.6494992813
64	0.6486886661
65	0.6482914001
66	0.6476213485
67	0.647254748
68	0.6468565544
69	0.6463614334
70	0.6460700648
71	0.6455041027
72	0.6451389326
73	0.6446660917
74	0.6441003244
75	0.6435314959
76	0.6428552109
77	0.6424145357
78	0.6419350749
79	0.6413336883
80	0.640703886
81	0.6403490711
82	0.6397642375
83	0.6392315572
84	0.6386560931
85	0.6382591725
86	0.6375576055
87	0.6370931496
88	0.6364215413
89	0.6363164409
90	0.6358096904
91	0.6352775681
92	0.6347869707
93	0.6342178562
94	0.6337288911
95	0.6332537962
96	0.6327601438
97	0.6324705831
98	0.6317465803
99	0.6312690665
100	0.6310409232
101	0.6307335688
102	0.6299773306
103	0.6293439279
104	0.6289961063
105	0.6281477376
106	0.6276988266
107	0.627275419
108	0.6268157237
109	0.6262188284
110	0.6255856577
111	0.625396206
112	0.6249638378
113	0.6242355628
114	0.6235562835
115	0.6233064148
116	0.6228085366
117	0.6223610386
118	0.6218352186
119	0.6217319267
120	0.6212843983
121	0.6211644833
122	0.6207009661
123	0.6201034801
124	0.620032434
125	0.6195978569
126	0.6190228509
127	0.618610306
128	0.6183991209
129	0.617906929
130	0.6176390825
131	0.6171743088
132	0.6164386862
133	0.6160490045
134	0.6155124172
135	0.6149776369
136	0.6149087449
137	0.6143934768
138	0.6141550252
139	0.6137998773
140	0.6137352054
141	0.6129984561
142	0.6124524138
143	0.6122610926
144	0.6117901707
145	0.6110993268
146	0.6109909625
147	0.6107318236
148	0.610349531
149	0.6101531034
150	0.6098922858
151	0.6095078044
152	0.6091615263
153	0.6086954314
154	0.6083766164
155	0.6081311172
156	0.6080169836
157	0.6077603739
158	0.6073817055
159	0.6070990925
160	0.6068735174
161	0.6062005944
162	0.6059935824
163	0.6057009671
164	0.6052108439
165	0.6050918465
166	0.6049653572
167	0.6046102379
168	0.6043244069
169	0.6039565214
170	0.6035423765
171	0.6031167785
172	0.6027336162
173	0.6021932154
174	0.602070317
175	0.6018923055
176	0.6017711721
177	0.6014340431
178	0.6013704481
179	0.6011345134
180	0.6008907398
181	0.6006621725
182	0.6004081765
183	0.600158524
184	0.5998273251
185	0.5994716473
186	0.5993349772
187	0.5989526355
188	0.5987235682
189	0.5985651438
190	0.598259124
191	0.5980497988
192	0.5976872422
193	0.5976342949
194	0.5971873539
195	0.5971342011
196	0.5970535005
197	0.5969131644
198	0.596827501
199	0.5965935716
200	0.5963554501
201	0.5959893054
202	0.5957317723
203	0.5955392486
204	0.5950513962
205	0.5948383773
206	0.5946876284
207	0.5944624124
208	0.594307213
209	0.5941031562
210	0.5937888902
211	0.5937188716
212	0.5933720675
213	0.5931051853
214	0.5929005246
215	0.5926060605
216	0.592561321
217	0.5923723341
218	0.5922284477
219	0.5921791878
220	0.5921386263
221	0.5920938762
