iter	RMSE
114	0.6204528626
115	0.6200799699
116	0.6195662993
117	0.6191287555
118	0.6187993932
119	0.618296745
120	0.6178889702
121	0.6174499773
122	0.6171322045
123	0.6168116114
124	0.6163456339
125	0.6159910855
126	0.6156517777
127	0.6154048035
128	0.6150669972
129	0.6145653371
130	0.6141871802
131	0.6138826305
132	0.613534115
133	0.6132520249
134	0.6129979547
135	0.612735996
136	0.6124742132
137	0.612152359
138	0.6117663958
139	0.6112487584
140	0.6108700435
141	0.6105905923
142	0.6102033747
143	0.6098423055
144	0.609397847
145	0.609028315
146	0.6086435335
147	0.6083305996
148	0.6080672997
149	0.6077724513
150	0.6073903569
151	0.6071312448
152	0.6069235342
153	0.6066069326
154	0.6062488527
155	0.6059723661
156	0.6057686317
157	0.6055220556
158	0.6051518628
159	0.6048398269
160	0.6044687901
161	0.6042217624
162	0.6037020038
163	0.6034002827
164	0.6030482002
165	0.6027148881
166	0.6022118317
167	0.601935721
168	0.601681036
169	0.6014621926
170	0.6010905593
171	0.6008986294
172	0.6006759883
173	0.6004530332
174	0.6001362629
175	0.5999408115
176	0.5997011787
177	0.5994273535
178	0.5991477186
179	0.5988418924
180	0.5984377333
181	0.5982200058
182	0.5978974276
183	0.597663943
184	0.5973252842
185	0.597128031
186	0.5967320582
187	0.5964380465
188	0.5961163041
189	0.5959121578
190	0.5955548115
191	0.5952796409
192	0.5949602001
193	0.5946990346
194	0.5942692589
195	0.5940736807
196	0.5938047158
197	0.5935394303
198	0.5931873437
199	0.5929520344
200	0.5926125646
201	0.592312742
202	0.5919768462
203	0.5917240835
204	0.5914677748
205	0.5911156799
206	0.5909237694
207	0.5906434974
208	0.5905001695
209	0.5903396261
210	0.590158219
211	0.5898585911
212	0.5896030332
213	0.5893234815
214	0.5891303986
215	0.5889846266
216	0.5887932878
217	0.5885062433
218	0.5882793079
219	0.5879717522
220	0.5877010494
221	0.5874000709
222	0.5872337176
223	0.5870133888
224	0.5868417793
225	0.5865506499
226	0.5862639731
227	0.5859413005
228	0.5856983199
229	0.5854184034
230	0.5852796685
231	0.5851174548
232	0.5849722537
233	0.5847245516
234	0.5845709643
235	0.5843922941
236	0.5841948128
237	0.5840231619
238	0.5837228404
239	0.5834593711
240	0.583261444
241	0.5830145545
242	0.5827463704
243	0.5824676448
244	0.5820863381
245	0.5818444123
246	0.5816081196
247	0.5814079247
248	0.5812238635
249	0.5809496136
250	0.5806374523
251	0.5804004324
252	0.5801945453
253	0.5799803924
254	0.5798303648
255	0.5797135596
256	0.579578993
257	0.5792273427
258	0.5788988344
259	0.578769247
260	0.578511914
261	0.5783180993
262	0.578038508
263	0.5777283505
264	0.5773846359
265	0.5771125378
266	0.5769212894
267	0.5765543333
268	0.5764327008
269	0.5761650857
270	0.5759185837
271	0.5756544344
272	0.5755422079
273	0.5752158143
274	0.5749149905
275	0.5747171287
276	0.5746097688
277	0.5744040692
278	0.5741969961
279	0.5737605675
280	0.5736288588
281	0.5734648547
282	0.5731963947
283	0.5730526998
284	0.5729133905
285	0.5727711407
286	0.572655564
287	0.5724260725
288	0.5722845375
289	0.5720500986
290	0.571900759
291	0.5717711804
292	0.5716545166
293	0.5713312976
294	0.5712259201
295	0.5710832464
296	0.5707619997
297	0.570678082
298	0.5704778819
299	0.5702965442
300	0.5699735156
301	0.5697319338
302	0.5695367733
303	0.5692695919
304	0.5691350006
305	0.5689930911
306	0.5688319236
307	0.5687383344
308	0.5685706779
309	0.5683451823
310	0.5681352779
311	0.5680221831
312	0.5679424285
313	0.5676892371
314	0.567379216
315	0.567165686
316	0.5669866726
317	0.5667957079
318	0.5665997245
319	0.5665367548
320	0.5663942633
321	0.5661089975
322	0.565939483
323	0.565835177
324	0.5655319383
325	0.5652887434
326	0.5651128048
327	0.5649622988
328	0.5648206535
329	0.5646520546
330	0.5643558259
331	0.5639160215
332	0.5637499112
333	0.5636188886
334	0.5633693058
335	0.563273616
336	0.5631220548
337	0.5630605641
338	0.5627701481
339	0.5625941589
340	0.5624122021
341	0.5622641617
342	0.5621535693
343	0.5620862784
344	0.5619197106
345	0.5617685545
346	0.5616149905
347	0.5613913464
348	0.5612983442
349	0.5610011497
350	0.5608659073
351	0.5607397872
352	0.5605779876
353	0.5604024721
354	0.5601983487
355	0.5599732834
356	0.5598689516
357	0.5597257466
358	0.5595068185
359	0.5593456737
360	0.5590364641
361	0.5589002063
362	0.5587438634
363	0.5584847871
364	0.5584436223
365	0.5582733984
366	0.5581024238
367	0.5580782207
368	0.5579117151
369	0.55763725
370	0.557440377
371	0.5572930678
372	0.5572412158
373	0.5571955285
374	0.5570181511
375	0.5568896901
376	0.5567349608
377	0.5566841108
378	0.5564900533
379	0.5563351925
380	0.556152081
381	0.5558468013
382	0.5557505077
383	0.5554626577
384	0.5551441634
385	0.5550333755
386	0.5548466687
387	0.5547334281
388	0.5545275326
389	0.5544162937
390	0.554219793
391	0.5541370384
392	0.5539927096
393	0.5539487863
394	0.5535757971
395	0.5533846785
396	0.5532137461
397	0.5530146356
398	0.5528401998
399	0.5526603136
400	0.5524534989
401	0.5522410707
402	0.5521616683
403	0.5521141548
404	0.5518961115
405	0.5517866075
406	0.5515751164
407	0.5513869484
408	0.5511993091
409	0.5510764864
410	0.5509115063
411	0.5507194163
412	0.5504714314
413	0.5503981707
414	0.5502929011
415	0.5501071915
416	0.5498956825
417	0.5497838264
418	0.5496402092
419	0.5495127963
420	0.5493459351
421	0.5491706411
422	0.5489763174
423	0.5489218732
424	0.5488067175
425	0.5486442382
426	0.5484960278
427	0.5483911808
428	0.5482019516
429	0.5480392306
430	0.5478432885
431	0.5476440457
432	0.5474605586
433	0.5472776569
434	0.5471601255
435	0.5470273429
436	0.546882386
437	0.5467652582
438	0.5464847845
439	0.5463333743
440	0.546301307
441	0.5461401259
442	0.5459614565
443	0.5458386072
444	0.5457654289
445	0.5456177932
446	0.5454678203
447	0.5453084793
448	0.5451819592
449	0.5451445022
450	0.5450002243
451	0.5448897742
452	0.5447918019
453	0.544682161
454	0.5445655734
455	0.5443550414
456	0.5442585619
457	0.5440901254
458	0.5439337988
459	0.5439001963
460	0.5436660012
461	0.5436118508
462	0.5434847016
463	0.543261807
464	0.5431239534
465	0.5429968729
466	0.5428170557
467	0.5426658707
468	0.5424698861
469	0.542371471
470	0.5422994953
471	0.5422231775
472	0.5419400406
473	0.5418346222
474	0.5416976641
475	0.5416234928
476	0.5415202025
477	0.541281838
478	0.5411168749
479	0.540794664
480	0.5405612205
481	0.540387992
482	0.5402290564
483	0.5401234859
484	0.5398404517
485	0.539743904
486	0.5396230992
487	0.5395123662
488	0.5393763625
489	0.5391684783
490	0.5389887365
491	0.5388058188
492	0.5386710097
493	0.5385906823
494	0.5383676422
495	0.5383228621
496	0.5381421321
497	0.5379252872
498	0.5377195017
499	0.5376910496
500	0.5375056961
501	0.5372877317
502	0.537187556
503	0.5370223088
504	0.5369136828
505	0.5367525134
506	0.5366609614
507	0.5364799396
508	0.536269779
509	0.5362504647
510	0.5361400676
511	0.5360560716
512	0.5359426395
513	0.5357112876
514	0.5356141392
515	0.5354961346
516	0.5353377962
517	0.5351503121
518	0.535086646
519	0.5349425534
520	0.5348231182
521	0.5347185835
522	0.5345829625
523	0.5345500979
524	0.5344328177
525	0.5343385349
526	0.5341096228
527	0.5339670502
528	0.5338361949
529	0.5337293498
530	0.5335244688
531	0.5335075416
532	0.5334118388
533	0.5333408461
534	0.5332408201
535	0.5331311427
536	0.5328992066
537	0.5327197958
538	0.5327025818
539	0.5325902037
540	0.5325354271
541	0.5323816552
542	0.5322754169
543	0.5321496228
544	0.5320280408
545	0.5319542592
546	0.5317902647
547	0.531697877
548	0.5315950428
549	0.5314684553
550	0.5313164579
551	0.5311672643
552	0.53100266
553	0.5308394153
554	0.5307429331
555	0.5305853648
556	0.5303663092
557	0.5302775729
558	0.5301562706
559	0.5300671972
560	0.5298913974
561	0.5297937394
562	0.5295930997
563	0.5293963322
564	0.5292656532
565	0.52918395
566	0.5291035656
567	0.5289502397
568	0.5288958753
569	0.5287963334
570	0.5287201208
571	0.5285971255
572	0.528444967
573	0.528438884
574	0.5283376929
575	0.5281997494
576	0.5280672779
577	0.5279679216
578	0.5278614045
579	0.5278434456
580	0.5276744441
581	0.5275563934
582	0.5273927217
583	0.5272637737
584	0.5271527395
585	0.5270358622
586	0.5268792776
587	0.5267978945
588	0.5267019473
589	0.5265805265
590	0.5264185642
591	0.5262431965
592	0.5261319027
593	0.5260504894
594	0.5259445991
595	0.525803876
596	0.5256959994
597	0.5255046415
598	0.525400794
599	0.5253064336
600	0.5251730271
601	0.5250087863
602	0.5248615444
603	0.524736972
604	0.5245956402
605	0.5245225523
606	0.5244177633
607	0.5243736477
608	0.5242369898
609	0.5240848832
610	0.5238898394
611	0.5237520403
612	0.523579933
613	0.5235236097
614	0.5234058711
615	0.5233927063
616	0.5232266574
617	0.5231157114
618	0.5229710336
619	0.5228729882
620	0.5228537314
621	0.5227595839
622	0.5226333298
623	0.5225725532
624	0.5225415588
625	0.5224261275
626	0.5222931704
627	0.5221738911
628	0.5220860564
629	0.521864515
630	0.5217579283
631	0.5217284726
632	0.5216491138
633	0.5216067267
634	0.5215904914
635	0.5214362491
636	0.5213453792
637	0.5213337916
638	0.5212220677
639	0.5212068706
640	0.5209769428
641	0.520863932
642	0.520712304
643	0.5206336273
644	0.5205429126
645	0.5203953853
646	0.5202225544
647	0.5200877801
648	0.5199809022
649	0.5198163378
650	0.5197037705
651	0.5196961748
652	0.5195740241
653	0.5195007894
654	0.5194127776
655	0.5193992616
656	0.5192866301
657	0.5192049135
658	0.5191298167
659	0.5190427298
660	0.5188986597
661	0.518875583
662	0.5187947793
663	0.5186466867
664	0.5185400959
665	0.5184776822
666	0.5183874013
667	0.5182324836
668	0.5181657367
669	0.5181202534
670	0.5179666809
671	0.5178232886
672	0.5176131199
673	0.5174679202
674	0.5173929735
675	0.517327886
676	0.5171920828
677	0.5170566876
678	0.5169364879
679	0.5168410009
680	0.5167202508
681	0.5166415293
682	0.5164668393
683	0.5164623435
684	0.5163182411
685	0.5161617287
686	0.5159999935
687	0.5159850344
688	0.5158931221
689	0.5158274682
690	0.5158004547
691	0.5157142867
692	0.5156197858
693	0.5155567787
694	0.5155107626
695	0.5153691693
696	0.5152297655
697	0.5150620988
698	0.5149660027
699	0.5148600596
700	0.5147980007
701	0.5146690549
702	0.5145690244
703	0.5144099223
704	0.5142392769
705	0.5141799223
706	0.5140789358
707	0.513951833
708	0.5138782177
709	0.5137239024
710	0.5135741407
711	0.5134579978
712	0.5132208906
713	0.5131226585
714	0.5129940737
715	0.5129150027
716	0.5127900501
717	0.5127392278
718	0.512615902
719	0.5124911593
720	0.5124854224
721	0.5123741205
722	0.5121759203
723	0.5120665827
724	0.5119673708
725	0.511740072
726	0.5116484053
727	0.5115381406
728	0.5113031867
729	0.5111775891
730	0.5109495371
731	0.5108091489
732	0.5106812754
733	0.5106618844
734	0.5105038345
735	0.5103680107
736	0.5102655451
737	0.5101259119
738	0.5100988256
739	0.5099856091
740	0.509834199
741	0.5096466629
742	0.509509495
743	0.5095042926
744	0.5093960967
745	0.5093214076
746	0.509266327
747	0.5091298649
748	0.50902976
749	0.5089360525
750	0.5088556117
751	0.5087522799
752	0.5086238673
753	0.5085298097
754	0.5084399189
755	0.5083187777
756	0.5082529964
757	0.508059539
758	0.5079928848
759	0.5079216385
760	0.5078320837
761	0.5077450153
762	0.5075995505
763	0.5075867054
764	0.5075412139
765	0.507428854
766	0.5073845778
767	0.5073136124
768	0.5071604534
769	0.507099737
770	0.5070307398
771	0.5069620422
772	0.5067914673
773	0.5066151263
774	0.5065597612
775	0.5063551061
776	0.5063505236
777	0.506204013
778	0.5060855242
779	0.5058167565
780	0.5056315908
781	0.5054887588
782	0.5054075653
783	0.5052972639
784	0.5051166373
785	0.5049977679
786	0.5048437065
787	0.5047139994
788	0.5046415191
789	0.5045816803
790	0.5044817451
791	0.5043093375
792	0.5043077525
793	0.5041791737
794	0.5041186287
795	0.5040707188
796	0.5040311709
797	0.5038723976
798	0.5038230139
799	0.503742116
800	0.5036569431
801	0.5035021729
802	0.5033876858
803	0.5032024889
804	0.5030705532
805	0.5029422305
806	0.5028375376
807	0.5027335792
808	0.5026148819
809	0.5025078232
810	0.5024274644
811	0.5022839242
812	0.5021861666
813	0.5021662814
814	0.5020661905
815	0.5019231352
816	0.5018006635
817	0.5017990588
818	0.5016514833
819	0.5014819417
820	0.501251711
821	0.5011662557
822	0.5011294882
823	0.5010787482
824	0.500969392
825	0.5008777598
826	0.5007839615
827	0.5006233502
828	0.5004717266
829	0.5003150323
830	0.5001941034
831	0.5001014594
832	0.4999791477
833	0.4998988296
834	0.4997643542
835	0.4996946967
836	0.499620698
837	0.4996020495
838	0.4995194423
839	0.499435924
840	0.499352987
841	0.4992508899
842	0.4991597873
843	0.499084606
844	0.4989729874
845	0.4987859457
846	0.4985863166
847	0.498421978
848	0.4982360645
849	0.4981734117
850	0.4981007345
851	0.4980461124
852	0.4979130798
853	0.4977969029
854	0.4977674865
855	0.497753452
856	0.4976979853
857	0.4975523253
858	0.4975087825
859	0.4973391513
860	0.4970975054
861	0.4970115999
862	0.4969337482
863	0.4968048224
864	0.4968021382
865	0.4966672629
866	0.4965546964
867	0.4964768422
868	0.4963620216
869	0.4962420306
870	0.4960901851
871	0.4958998595
872	0.4958885791
873	0.4958017116
874	0.4957924549
875	0.4956249925
876	0.4955582572
877	0.4954976473
878	0.495456431
879	0.4953886218
880	0.4952760361
881	0.4951986589
882	0.4950600753
883	0.4949946751
884	0.4949061381
885	0.4947782373
886	0.4946474142
887	0.4945293673
888	0.4944376927
889	0.4943395122
890	0.4942770243
891	0.4942114088
892	0.494121897
893	0.4939928039
894	0.4938811821
895	0.4937855804
896	0.4937821961
897	0.4937084627
898	0.493641816
899	0.4935546601
900	0.4935094805
901	0.493405049
902	0.4933141712
903	0.4932733128
904	0.4931599091
905	0.4930219731
906	0.4928991966
907	0.4928128474
908	0.492619248
909	0.4924093074
910	0.4923498251
911	0.4922785316
912	0.4922010253
913	0.4920610912
914	0.4919316858
915	0.4917841007
916	0.4916619555
917	0.4915241912
918	0.4914231261
919	0.4913852639
920	0.4912038786
921	0.4911399736
922	0.4910266633
923	0.4909396023
924	0.4908323739
925	0.4907537954
926	0.4906011718
927	0.4904644018
928	0.4903728632
929	0.4902332077
930	0.4901179776
931	0.4900096551
932	0.4899829702
933	0.4898963337
934	0.4898348882
935	0.4897469574
936	0.4896826841
937	0.4896230637
938	0.4895306684
939	0.4894275455
940	0.4893258612
941	0.4892130355
942	0.4891284724
943	0.4890113189
944	0.4889863656
945	0.4889082898
946	0.4887851364
947	0.4887148839
948	0.4886406943
949	0.4885715184
950	0.488471327
951	0.4884168689
952	0.4884137439
953	0.4883021616
954	0.4881674357
955	0.4881020576
956	0.4880403979
957	0.487913092
958	0.4878593133
959	0.4876396799
960	0.4875292519
961	0.4874391186
962	0.4873808582
963	0.4873735584
964	0.4873708101
965	0.4872447792
966	0.4871923362
967	0.4871144011
968	0.4870342009
969	0.4869139149
970	0.4868307365
971	0.4867129043
972	0.4865846468
973	0.4865833656
974	0.4864126777
975	0.4862550857
976	0.4861745528
977	0.4860265759
978	0.4859583657
979	0.4858135612
980	0.485756468
981	0.4856804129
982	0.485618521
983	0.4855625525
984	0.4854596105
985	0.4854040254
986	0.4853166981
987	0.4852063442
988	0.4851178455
989	0.4850322252
990	0.4849363667
991	0.4848737225
992	0.4847991861
993	0.4847107902
994	0.4846024218
995	0.4844451182
996	0.4843498831
997	0.4841973974
998	0.4840471567
999	0.4839170596
